Código Nacional|Nombre Estación|Comuna|Región|Latitud|Longitud|Organismo|Datos Desde|Datos Hasta
360087|Bulnes|Bulnes|De Ñuble|-36.735555|-72.366943|Fundación para el Desarrollo Frutícola|2020|2023
360088|Quillón|Quillón|De Ñuble|-36.744999|-72.504722|Fundación para el Desarrollo Frutícola|2020|2023
360089|San Ignacio Pinto|San Ignacio|De Ñuble|-36.84361|-72.124721|Fundación para el Desarrollo Frutícola|2020|2023
360090|El Carmen Trehualemu|El Carmen|De Ñuble|-36.920832|-71.893333|Fundación para el Desarrollo Frutícola|2020|2023
360091|Puralihue|Concepción|Del Biobío|-36.43111|-72.647777|Instituto de Investigación Agropecuaria|2020|2023
360092|Santa Lucía|Florida|Del Biobío|-36.697499|-72.704166|Instituto de Investigación Agropecuaria|2020|2023
360905|Hualpencillo|Concepción|Del Biobío|-36.781666|-73.059444|Dirección Meteorológica de Chile|1941|2013
370011|Los Ángeles - Human I.N.I.A|Los Angeles|Del Biobío|-37.43361|-72.243888|Instituto de Investigación Agropecuaria|2020|2023
370033|María Dolores, Los Angeles Ad.|Los Angeles|Del Biobío|-37.396944|-72.423888|Dirección Meteorológica de Chile|1941|2023
370036|El Huertón liceo agrícola, Los Ángeles|Los Angeles|Del Biobío|-37.456944|-72.274999|Dirección Meteorológica de Chile|2013|2023
370042|Coronel|Coronel|Del Biobío|-37.004722|-73.140277|Instituto de Investigación Agropecuaria|2019|2019
370044|Yungay|Yungay|De Ñuble|-37.141388|-72.011666|Instituto de Investigación Agropecuaria|2019|2023
370054|Lebu|Los Angeles|Del Biobío|-37.682499|-73.522221|Instituto de Investigación Agropecuaria|2019|2023
370061|Manzanares|Renaico|De La Araucanía|-37.772499|-72.54611|Instituto de Investigación Agropecuaria|2019|2023
370065|Cañete|Cañete|Del Biobío|-37.891944|-73.411666|Instituto de Investigación Agropecuaria|2019|2023
370067|Angol, Húsares|Angol|De La Araucanía|-37.795833|-72.684444|Dirección Meteorológica de Chile|2019|2023
370068|Los Angeles, Tierras Nobles|Los Angeles|Del Biobío|-37.441944|-72.617777|Fundación para el Desarrollo Frutícola|2020|2023
370069|Los Angeles|Los Angeles|Del Biobío|-37.447499|-72.517221|Fundación para el Desarrollo Frutícola|2020|2023
370070|Los Angeles, Las Viñas|Los Angeles|Del Biobío|-37.501388|-72.300555|Fundación para el Desarrollo Frutícola|2020|2023
